Filename, Type of Algorithm, Profit, Profit after Local Search, Optimal Profit, Error, sizeOfPathSet, StopFactor, CPU Time(ms), Run Time(ms), Route, Requests
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo1_a_disRatio_a,0.20624,1.42076,1.42076,0,5,3,20,32.4515,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo1_a_disRatio_b,-0.43224,1.42076,1.42076,0,8,3,40,57.7284,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo1_b,0.20624,1.42076,1.42076,0,2,3,10,23.5083,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo1_b_disRatio_a,0.20624,1.42076,1.42076,0,5,0,30,38.2396,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo2_b,-0.9996,1.42076,1.42076,0,5,3,30,41.2259,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo2_b_disRatio,-1.2842,1.42076,1.42076,0,8,3,40,58.4255,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo2_c,-0.13396,1.31288,1.42076,0.10788,0,0,0,2.93379,1 7 10 ,1:7 7:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo3_a,1.31288,1.31288,1.42076,0.10788,0,0,0,2.40634,1 7 10 ,1:7 7:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo3_b,1.31288,1.31288,1.42076,0.10788,0,0,10,2.25418,1 7 10 ,1:7 7:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo4,-0.81926,0.25698,1.42076,1.16378,3,0,10,17.3431,1 5 10 ,1:5 1:10 5:10 
